model_id,score_1_mean,score_1_std,score_2_mean,score_2_std,ot_score_mean,ot_score_std,bertscore_recall_ref_mean,bertscore_recall_ref_std,bertscore_precision_ctx_mean,bertscore_precision_ctx_std
DeepSeek,16.079407066127875,18.201714011825814,11.164866061281408,12.00038653527597,153.17903394622488,163.0148380266235,0.7920629286766052,0.049765821459333975,0.6453386402130127,0.04991875159110173
GPT-4o,13.47621732862385,13.88119513153694,14.006121673181632,13.343785096542813,92.74491760024635,90.06068699236512,0.8049803137779236,0.05493801375698672,0.6669913315773011,0.058511521737699405
Le Chat,22.617544297908072,24.314172448674203,20.128391574781627,20.354382888784958,64.5968723952625,89.4433383270667,0.8492649292945862,0.0762286609688477,0.7856812930107117,0.07623818823585388
TOTAL,17.3910562308866,19.407827548616943,15.099793103081554,15.905959701043239,103.50694131391124,123.4014158341655,0.815436057249705,0.06538199640897426,0.6993370882670085,0.08752612291824426
