model_id,Method 1_mean,Method 1_std,Method 2 (correction)_mean,Method 2 (correction)_std,Method 2 (filtering)_mean,Method 2 (filtering)_std,Method 2 (global)_mean,Method 2 (global)_std
DeepSeek,50.12930805952096,139.25338604069321,19.61792734741137,37.34386485812951,117.73091226851862,84.55326574744988,152.28395672963615,140.5258862794436
GPT-4o,14.230134110185881,11.856678787385245,37.39748158644661,90.62353929629045,83.75181167714707,85.8599270140117,139.23122859745806,178.08405439971625
Le Chat,46.22431954338857,51.91628216926093,47.0157369452701,61.81326583531559,63.82079490342953,79.87431812276944,99.87129648724937,101.91411741315851
TOTAL,36.861253904365135,86.6265710241814,34.67704862637603,67.12445778399554,88.43450628303175,85.50660802561751,130.4621606047812,143.71698862624314
